DATE,Value
2025-10-01,2966094
2025-10-08,2998471
2025-10-15,3019028
2025-10-22,2933037
2025-10-29,2848021
2025-11-05,2862569
2025-11-12,2855030
2025-11-19,2888643
2025-11-26,2896586
2025-12-03,2858284
2025-12-10,2932112
2025-12-17,2959044
2025-12-24,2955581
2025-12-31,2957410
2026-01-07,2996379
2026-01-14,3049630
2026-01-21,2954903
2026-01-28,2901600
2026-02-04,2925170
2026-02-11,2939557
2026-02-18,2949804
2026-02-25,2965765
